vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.205,360,2131,2556
ii,2,0.015,0.22,419,2000,2555
ii,3,0.03,0.235,425,1971,2474
ii,4,0.045,0.25,444,1976,2540
ii,5,0.06,0.265,430,1989,2542
ii,6,0.076,0.28,416,1980,2541
ii,7,0.091,0.296,409,1997,2494
ii,8,0.106,0.311,419,2009,2546
ii,9,0.121,0.326,416,1985,2532
ii,10,0.136,0.341,405,1983,2555
ih,1,0,0.957,444,2017,2426
ih,2,0.014,0.971,442,2219,2637
ih,3,0.028,0.985,468,2001,2485
ih,4,0.042,0.999,437,2022,2387
ih,5,0.057,1.014,413,2204,2567
ih,6,0.071,1.028,384,2249,2623
ih,7,0.085,1.042,383,2253,2669
ih,8,0.099,1.056,366,2244,2655
ih,9,0.113,1.07,365,2225,2642
ih,10,0.127,1.084,356,2267,2633
ei,1,0,1.769,553,1996,2611
ei,2,0.014,1.783,578,1893,2570
ei,3,0.029,1.797,577,1889,2601
ei,4,0.043,1.812,573,1904,2533
ei,5,0.057,1.826,588,1920,2365
ei,6,0.071,1.84,592,1922,2339
ei,7,0.086,1.855,576,1932,2607
ei,8,0.1,1.869,575,1907,2600
ei,9,0.114,1.883,577,1902,2447
ei,10,0.129,1.897,554,1846,2538
eh,1,0,2.609,774,1825,2894
eh,2,0.018,2.627,768,1678,2691
eh,3,0.036,2.645,768,1695,2289
eh,4,0.055,2.664,780,1729,2156
eh,5,0.073,2.682,770,1708,2628
eh,6,0.091,2.7,776,1725,1883
eh,7,0.109,2.718,779,1690,2197
eh,8,0.127,2.736,779,1677,2421
eh,9,0.146,2.755,776,1687,2426
eh,10,0.164,2.773,772,1673,2406
ah,1,0,3.451,774,1237,2405
ah,2,0.014,3.465,783,1274,2395
ah,3,0.027,3.478,752,1222,2364
ah,4,0.041,3.492,746,1313,2353
ah,5,0.055,3.506,769,1225,2407
ah,6,0.068,3.519,780,1238,2355
ah,7,0.082,3.533,778,1235,2357
ah,8,0.095,3.547,793,1210,2372
ah,9,0.109,3.56,777,1235,2389
ah,10,0.123,3.574,748,1243,2388
aw,1,0,4.278,672,951,2385
aw,2,0.015,4.293,639,957,2359
aw,3,0.03,4.308,664,997,2345
